kode_deskel,deskel,jumlah_kk,indikator_A,indikator_B,indikator_C,indikator_D,indikator_E,indikator_F,indikator_G,indikator_H,indikator_I,indikator_J,indikator_K,indikator_L,indikator_M,dimensi_A,dimensi_B,dimensi_C,dimensi_D,dimensi_E,iid_desa,ikd_desa,gini_iid_rumah_tangga,interpretasi_gini
64.02.02.2011,jembayan tengah,523,0.843212,0.337144,0.06501,0.732314,0.424761,0.612768,0.09369,0.018164,0.334608,0.217973,0.614723,0.737094,0.615679,0.415122,0.732314,0.470092,0.655832,0.166109,0.528655,0.471345,0.169192,Sedang
64.02.02.2012,jembayan dalam,447,0.776286,0.281978,0.049217,0.744966,0.373937,0.622671,0.061521,0.008949,0.341163,0.214765,0.517897,0.696868,0.599553,0.36916,0.744966,0.432532,0.604773,0.1566,0.501653,0.498347,0.222863,Tinggi
64.02.02.2013,sepakat,611,0.831424,0.309267,0.211129,0.778232,0.594026,0.623478,0.067103,0.037643,0.516367,0.155483,0.747136,0.846154,0.376432,0.450607,0.778232,0.59358,0.656574,0.194149,0.576655,0.423345,0.167189,Sedang
64.02.02.2014,sumber sari,1036,0.795367,0.29555,0.1361,0.722973,0.499276,0.626503,0.103764,0.06612,0.398166,0.229247,0.516892,0.723938,0.217181,0.409006,0.722973,0.521823,0.486004,0.199324,0.504492,0.495508,0.197718,Tinggi
64.02.02.2015,jongkang,432,0.886574,0.325781,0.141204,0.773148,0.504398,0.630671,0.043981,0.03125,0.412037,0.268519,0.75463,0.796296,0.430556,0.451186,0.773148,0.542187,0.660494,0.188947,0.565515,0.434485,0.14766,Rendah
64.02.02.2016,jembayan ilir,1164,0.860825,0.300212,0.106529,0.806271,0.47762,0.595075,0.006443,0.004296,0.161942,0.08634,0.626718,0.771048,0.448883,0.422522,0.806271,0.509379,0.61555,0.064755,0.53866,0.46134,0.157948,Sedang
64.02.03.2001,bakungan,2285,0.878337,0.313203,0.105033,0.799672,0.495908,0.593273,0.017724,0.008534,0.371991,0.193217,0.665208,0.774836,0.304158,0.432191,0.799672,0.522998,0.5814,0.147867,0.543632,0.456368,0.159049,Sedang
64.02.03.2002,loa duri ulu,2118,0.878187,0.326849,0.144004,0.819169,0.557247,0.646486,0.03187,0.02526,0.290132,0.146364,0.604108,0.79745,0.154391,0.44968,0.819169,0.579253,0.51865,0.123407,0.549134,0.450866,0.141293,Rendah
64.02.03.2003,loa janan ulu,3735,0.900134,0.325811,0.192236,0.817604,0.60743,0.643838,0.007631,0.007631,0.300402,0.191566,0.547256,0.748862,0.332396,0.472727,0.817604,0.613367,0.542838,0.126807,0.566504,0.433496,0.145856,Rendah
64.02.03.2004,purwajaya,1682,0.895363,0.340557,0.158145,0.8261,0.569709,0.672721,0.049643,0.014863,0.441736,0.256837,0.714923,0.845422,0.316885,0.464688,0.8261,0.591835,0.625743,0.19077,0.58529,0.41471,0.145811,Rendah
64.02.03.2005,tani bakti,877,0.846066,0.309407,0.158495,0.783067,0.492987,0.643108,0.08951,0.038198,0.732611,0.237172,0.761688,0.878563,0.13626,0.437989,0.783067,0.532421,0.59217,0.274373,0.55762,0.44238,0.162092,Sedang
64.02.03.2006,batuah,2704,0.851701,0.350439,0.098003,0.74399,0.448872,0.606434,0.016272,0.007951,0.345229,0.193972,0.612981,0.729475,0.173817,0.433381,0.74399,0.493853,0.505424,0.140856,0.508284,0.491716,0.178188,Sedang
64.02.03.2007,loa duri ilir,3275,0.904733,0.334331,0.201527,0.874733,0.612992,0.68382,0.012366,0.012672,0.398473,0.239695,0.749008,0.894351,0.470382,0.480197,0.874733,0.629651,0.70458,0.165802,0.622159,0.377841,0.121894,Rendah
64.02.03.2008,tani harapan,808,0.897277,0.40436,0.167079,0.798267,0.459592,0.581044,0.063738,0.019802,0.383045,0.240718,0.850866,0.896658,0.156559,0.489572,0.798267,0.492605,0.634695,0.176825,0.565102,0.434898,0.135915,Rendah
64.02.04.2002,muara pantuan,635,0.817323,0.320351,0.026772,0.740551,0.299449,0.618556,0.089764,0.007087,0.270079,0.213386,0.599213,0.7,0.234646,0.388148,0.740551,0.405656,0.511286,0.145079,0.480071,0.519929,0.168536,Sedang
64.02.04.2004,kutai lama,961,0.849116,0.295435,0.061394,0.783039,0.393028,0.601106,0.043704,0.015088,0.280957,0.174818,0.636316,0.776275,0.301769,0.401982,0.783039,0.45568,0.571453,0.128642,0.514546,0.485454,0.168178,Sedang
64.02.04.2005,anggana,1079,0.895273,0.327268,0.131603,0.810704,0.553892,0.671105,0.029657,0.025487,0.293791,0.156627,0.664504,0.912882,0.247451,0.451381,0.810704,0.583936,0.608279,0.12639,0.566603,0.433397,0.139712,Rendah
64.02.04.2007,sidomulyo,1293,0.812065,0.290809,0.172467,0.754254,0.472583,0.649036,0.076179,0.063032,0.401005,0.266048,0.754447,0.851121,0.368136,0.425114,0.754254,0.517288,0.657902,0.201566,0.550036,0.449964,0.185194,Tinggi
64.02.04.2008,handil terusan,1164,0.824742,0.293009,0.064433,0.737973,0.386856,0.625279,0.053265,0.011168,0.303694,0.126289,0.621134,0.789519,0.228952,0.394062,0.737973,0.463932,0.546535,0.123604,0.497462,0.502538,0.170382,Sedang
64.02.06.1001,jahab,1198,0.858097,0.32072,0.140234,0.783598,0.562479,0.684415,0.05384,0.018364,0.402337,0.333472,0.638147,0.760434,0.42571,0.439684,0.783598,0.591263,0.608097,0.202003,0.565893,0.434107,0.163409,Sedang
64.02.06.1002,loa ipuh,4404,0.881926,0.33379,0.240009,0.792007,0.660354,0.655395,0.006244,0.003974,0.204019,0.120005,0.558924,0.708106,0.372048,0.485242,0.792007,0.652691,0.546359,0.08356,0.567478,0.432522,0.151114,Rendah
64.02.06.1003,bukit biru,1377,0.791576,0.279592,0.127814,0.74183,0.493573,0.688829,0.042847,0.035221,0.6122,0.401598,0.629267,0.765069,0.567175,0.399661,0.74183,0.540571,0.653837,0.272967,0.551551,0.448449,0.18211,Tinggi
64.02.06.1004,timbau,3300,0.910606,0.337917,0.278182,0.836364,0.712864,0.717696,0.010758,0.009091,0.237576,0.126212,0.595606,0.741061,0.475455,0.508902,0.836364,0.710313,0.60404,0.095909,0.608778,0.391222,0.138537,Rendah
64.02.06.1005,melayu,2555,0.931115,0.362466,0.280235,0.831898,0.659706,0.713443,0.010372,0.009393,0.278669,0.164775,0.693933,0.847358,0.388454,0.524606,0.831898,0.67199,0.643249,0.115802,0.613754,0.386246,0.124979,Rendah
64.02.06.1006,panji,1215,0.937449,0.339568,0.261728,0.824486,0.665514,0.678563,0.015226,0.009053,0.32963,0.166255,0.648971,0.80823,0.287243,0.512915,0.824486,0.665885,0.581481,0.130041,0.596828,0.403172,0.133895,Rendah
64.02.06.1007,sukarame,918,0.943355,0.35767,0.38671,0.884804,0.739052,0.693449,0.018519,0.014706,0.206427,0.123094,0.751089,0.826253,0.483115,0.562578,0.884804,0.722141,0.686819,0.090686,0.652706,0.347294,0.114888,Rendah
